Parameter,Value,Status
Quantum Chemistry Engine,ORCA 6.0.0,PASS
Functional & Basis Set,wB97X-D3BJ / def2-TZVP,PASS
Dispersion Correction,D3BJ,PASS
Solvent Model,CPCM (Water),PASS
Charge & Multiplicity,"q = 0, (2S+1) = 1",PASS
SCF Convergence,Converged (12 iterations),PASS
Geometry Optimization,Converged (5 steps),PASS
Stationary Point Type,LOCAL_MINIMUM (0 imaginary modes),PASS
Lowest Vibrational Mode,45.2 cm^-1,PASS
Spin Contamination <S^2>,"<S^2> = 0.0000 (exact = 0.0000, error = 0.00%)",PASS
HOMO-LUMO Gap,6.10 eV (0.2242 Eh),PASS
ZPVE,0.18520 Eh,PASS
Gibbs Free Energy G (298.15 K),-425.87520 Eh,PASS
Grimme Quasi-RRHO Delta G,0.601 kcal/mol (2 low modes),PASS
